11278	95	1	0	10966	713.358	23.3782	0.953947	0.916675	0.787324
11278	103	1	0	11182.8	576.742	14.9816	0.661608	22.3237	0.753541
11278	170	1	0	10173.5	514.83	18.6274	0.706899	12.7293	0.718582
11278	204	2	0	11015.6	566.398	20.3513	0.722375	13.2452	0.715547
11278	267	3	0	8304.45	441.259	19.4729	0.684245	23.5434	0.793432
11278	360	1	0	8879.56	463.051	15.4353	0.665957	23.0331	0.765856
11277	135	1	0	8713.82	439.689	16.9719	0.676753	14.6893	0.675091
11277	190	0	0	9534.63	483.232	21.2009	0.714141	18.8203	0.687197
11277	236	1	0	7092.63	372.562	21.2691	0.743114	18.3357	0.706129
11277	316	0	0	9617.56	490.613	18.7899	0.730258	14.4799	0.731865
11276	209	1	0	10648.1	686.48	20.5986	0.709681	3.29799	1.16916
11276	272	2	0	10599.8	590.694	17.7856	0.665561	26.3029	0.903169
11276	316	1	0	9635.51	512.176	17.712	0.664783	25.0573	0.832572
11276	325	0	0	9174.24	464.011	18.9076	0.70515	15.3026	0.707316
11274	233	0	0	8913.99	477.252	24.2285	0.832834	16.8161	0.672119
11264	344	0	0	9150.34	467.195	18.1832	0.724804	19.0637	0.72439
11261	109	1	0	10092.2	536.617	19.9165	0.688708	23.3849	0.771621
11261	323	0	0	10304.9	536.506	19.5675	0.683203	23.8118	0.796818
11261	358	1	0	9330.5	493.569	18.3549	0.659509	24.5576	0.814316
11259	261	0	0	9527.83	524.468	19.5086	0.732937	24.3414	0.871305
11258	73	0	0	9587.42	481.393	17.0742	0.67369	14.449	0.675033
11258	106	0	0	8187.59	420.817	15.3294	0.685462	13.8767	0.702415
11257	46	2	0	11362.7	670.138	11.9371	0.712636	5.55851	1.0072
11257	123	0	0	9864.56	511.588	17.7205	0.687644	10.9407	0.758467
11257	208	1	0	8754.05	485.041	24.3077	0.970405	6.95342	1.08599
11257	237	0	0	10173.8	538.982	20.8296	0.697047	24.4783	0.793216
11257	264	0	0	6589.64	385.289	19.5881	0.670086	5.46404	1.00426
11257	339	1	0	13092.4	862.311	15.773	0.674145	1.74124	1.00263
11257	348	0	0	11500.5	776.248	16.6477	0.693896	1.30248	0.888144
11256	190	0	0	11058.3	565.136	12.707	0.709802	18.9105	0.688354
11254	68	0	0	9497.5	493.426	12.7012	0.689311	20.8236	0.69998
11254	128	2	0	9584.9	497.293	13.2589	0.687876	11.4808	0.724026
11254	234	2	0	13662.5	909.865	20.1798	0.761149	1.26096	0.912929
11254	292	2	0	9161.9	495.092	21.2245	0.759985	9.36151	0.843035
11254	315	0	0	11451.7	652.219	18.4218	0.717703	6.29873	1.01669
11252	88	0	0	11248.7	608.267	19.2998	0.722408	7.70111	0.932073
11252	143	3	0	10756.6	581.486	25.1501	0.959371	15.2808	0.753597
11252	252	0	0	9276.61	469.197	15.3002	0.692344	15.9575	0.691844
11252	334	0	0	9788.55	506.328	16.5882	0.686034	11.6174	0.736081
11252	401	0	0	7776.37	392.903	18.851	0.705259	15.1648	0.697797
11249	1	1	0	10910.2	614.31	18.6306	0.920096	0.393473	0.362881
11249	210	1	0	10536.7	543.468	15.4642	0.678288	21.5265	0.747377
